product_id,warehouse,stock_quantity,reorder_level,last_restock_date,needs_reorder,product_name,category,unit_cost,units_sold,turnover_ratio,stock_value,stock_vs_reorder,risk_flag
P0017,WH-WEST,27,27,2024-05-16,True,Lounge Sofa,Furniture,765.61,6141,227.44,20671.47,0,REORDER NOW
P0016,WH-APAC,54,23,2024-03-15,False,Conference Table,Furniture,368.65,6070,112.41,19907.1,31,OK
P0010,WH-EU,107,99,2024-12-17,False,Filing Cabinet,Office Supplies,162.22,6387,59.69,17357.54,8,AT RISK
P0019,WH-EAST,128,38,2024-12-19,False,USB-C Hub,Accessories,53.13,6836,53.41,6800.64,90,OK
P0011,WH-WEST,176,36,2024-09-14,False,Analytics Suite License,Software,323.42,6370,36.19,56921.92,140,OK
P0013,WH-APAC,180,91,2024-10-25,False,Security Suite License,Software,99.6,5987,33.26,17928.0,89,OK
P0022,WH-WEST,231,33,2025-01-15,False,Portable SSD 1TB,Accessories,154.1,6118,26.48,35597.1,198,OK
P0012,WH-EAST,277,61,2025-01-24,False,Cloud Backup Plan,Software,628.42,6214,22.43,174072.34,216,OK
P0021,WH-EU,277,24,2025-02-20,False,Webcam HD,Accessories,414.04,5888,21.26,114689.08,253,OK
P0007,WH-EU,308,85,2025-03-07,False,Standing Desk,Office Supplies,143.86,6144,19.95,44308.88,223,OK
P0014,WH-EU,292,73,2025-03-25,False,Design Studio License,Software,742.4,5825,19.95,216780.8,219,OK
P0002,WH-EU,336,96,2024-09-15,False,Wireless Mouse,Electronics,104.51,6178,18.39,35115.36,240,OK
P0008,WH-EU,359,90,2024-12-30,False,Desk Lamp,Office Supplies,577.73,6591,18.36,207405.07,269,OK
P0009,WH-WEST,377,90,2024-04-12,False,Whiteboard,Office Supplies,98.96,6247,16.57,37307.92,287,OK
P0020,WH-WEST,401,57,2025-01-20,False,Laptop Sleeve,Accessories,673.47,6611,16.49,270061.47,344,OK
P0018,WH-EU,384,40,2024-12-15,False,Storage Cabinet,Furniture,406.58,6285,16.37,156126.72,344,OK
P0001,WH-EAST,374,36,2024-07-17,False,Laptop Pro 14,Electronics,530.88,5913,15.81,198549.12,338,OK
P0006,WH-WEST,412,37,2024-07-30,False,Ergo Office Chair,Office Supplies,566.15,6468,15.7,233253.8,375,OK
P0003,WH-APAC,451,69,2024-11-07,False,4K Monitor,Electronics,189.07,6520,14.46,85270.57,382,OK
P0015,WH-EAST,433,74,2024-09-24,False,Bookshelf Unit,Furniture,477.22,6056,13.99,206636.26,359,OK
P0004,WH-EU,468,51,2024-07-22,False,Mechanical Keyboard,Electronics,666.46,6541,13.98,311903.28,417,OK
P0005,WH-EU,493,63,2024-08-19,False,Noise-Cancel Headphones,Electronics,244.21,6274,12.73,120395.53,430,OK
